number:0 count:138
number:1 count:264756
number:2 count:396796
number:3 count:447859
number:4 count:409523
number:5 count:338045
number:6 count:265310
number:7 count:191333
number:8 count:138015
number:9 count:97625
number:10 count:73466
number:11 count:47923
number:12 count:35182
number:13 count:25893
number:14 count:20795
number:15 count:17597
number:16 count:15715
number:17 count:15118
number:18 count:15823
number:19 count:18502
number:20 count:33782
number:21 count:0
number:22 count:0
number:23 count:0
number:24 count:0
number:25 count:0
number:26 count:0
number:27 count:0
number:28 count:0
number:29 count:0

real_number:0 count:1676
real_number:1 count:931184
real_number:2 count:727505
real_number:3 count:491675
real_number:4 count:303374
real_number:5 count:179548
real_number:6 count:102853
real_number:7 count:57604
real_number:8 count:32592
real_number:9 count:18863
real_number:10 count:10509
real_number:11 count:5832
real_number:12 count:3136
real_number:13 count:1601
real_number:14 count:720
real_number:15 count:339
real_number:16 count:135
real_number:17 count:30
real_number:18 count:18
real_number:19 count:2
real_number:20 count:0
real_number:21 count:0
real_number:22 count:0
real_number:23 count:0
real_number:24 count:0
real_number:25 count:0
real_number:26 count:0
real_number:27 count:0
real_number:28 count:0
real_number:29 count:0
